invoicedate,revenue
2009-12-01,59.5
2009-12-01,98.10000000000001
2009-12-01,17.85
2009-12-01,27.04
2009-12-01,20.85
2009-12-01,17.4
2009-12-01,19.799999999999997
2009-12-01,19.799999999999997
2009-12-01,54.24
2009-12-01,15.0
2009-12-01,17.0
2009-12-01,55.800000000000004
2009-12-01,25.200000000000003
2009-12-01,25.200000000000003
2009-12-01,17.85
2009-12-01,17.700000000000003
2009-12-01,10.0
2009-12-01,10.0
2009-12-01,102.0
2009-12-08,79.2
2009-12-08,25.5
2009-12-08,59.5
2009-12-08,19.799999999999997
2009-12-08,19.799999999999997
2009-12-08,102.0
2009-12-08,70.80000000000001
2009-12-08,10.5
2009-12-08,17.0
2009-12-08,17.0
2009-12-08,23.4
2009-12-08,25.200000000000003
2009-12-08,88.80000000000001
2009-12-08,90.0
2009-12-16,70.80000000000001
2009-12-16,54.24
2009-12-16,17.0
2009-12-16,34.0
2009-12-16,30.0
2009-12-16,130.8
2009-12-16,15.0
2009-12-16,102.0
2009-12-16,19.799999999999997
2009-12-16,102.0
2009-12-20,59.5
2009-12-20,102.0
2009-12-20,70.80000000000001
2009-12-20,81.36
2009-12-20,34.0
2009-12-20,34.0
2009-12-20,23.4
2009-12-20,59.5
2010-01-08,59.5
2010-01-08,70.80000000000001
2010-01-08,59.5
2010-01-08,30.0
2010-01-08,54.24
2010-01-08,15.0
2010-01-08,25.200000000000003
2010-01-08,25.200000000000003
2010-01-08,81.36
2010-01-08,15.0
2010-01-08,15.0
2010-01-08,15.0
2010-01-22,102.0
2010-01-22,59.5
2010-01-22,59.5
2010-01-22,59.5
2010-01-22,39.6
2010-01-22,12.4
2010-01-22,88.80000000000001
2010-01-22,15.0
2010-02-02,17.0
2010-02-02,130.8
2010-02-02,10.0
2010-02-02,10.0
2010-02-02,10.0
2010-02-02,15.0
2010-02-02,90.0
2010-02-02,102.0
2010-02-02,70.80000000000001
2010-02-02,39.6
2010-02-02,12.4
2010-02-02,17.0
2010-02-16,63.5
2010-02-16,63.5
2010-02-16,63.5
2010-02-16,25.200000000000003
2010-02-16,130.8
2010-02-16,10.0
2010-03-10,63.5
2010-03-10,63.5
2010-03-10,63.5
2010-03-10,63.5
2010-03-10,15.0
2010-03-10,15.299999999999999
2010-03-10,65.69999999999999
2010-03-10,51.0
2010-03-10,25.200000000000003
2010-03-10,81.36
2010-03-10,10.0
2010-03-10,15.0
2010-03-10,15.0
2010-03-10,30.0
2010-03-10,25.200000000000003
2010-03-24,11.9
2010-03-24,8.5
2010-03-24,30.0
2010-03-24,17.0
2010-03-24,65.88
2010-03-24,10.5
2010-03-24,22.5
2010-03-24,10.0
2010-03-24,10.0
2010-03-24,15.0
2010-03-24,15.299999999999999
2010-03-24,15.299999999999999
2010-03-24,15.299999999999999
2010-03-24,63.5
2010-03-24,88.80000000000001
2010-03-24,25.200000000000003
2010-03-24,25.200000000000003
2010-03-24,39.6
2010-03-24,11.6
2010-03-24,130.8
2010-03-24,130.8
2010-04-20,30.0
2010-04-20,81.12
2010-04-20,25.200000000000003
2010-04-20,25.200000000000003
2010-04-20,25.200000000000003
2010-04-20,30.0
2010-04-20,63.5
2010-04-20,63.5
2010-04-20,63.5
2010-04-20,63.5
2010-04-20,102.0
2010-04-20,30.599999999999998
2010-04-20,17.0
2010-04-20,51.0
2010-04-20,15.0
2010-04-20,15.0
2010-05-02,17.0
2010-05-02,55.800000000000004
2010-05-02,10.0
2010-05-02,10.0
2010-05-02,10.5
2010-05-02,47.6
2010-05-02,47.6
2010-05-02,47.6
2010-05-02,39.6
2010-05-02,11.6
2010-05-02,10.08
2010-05-02,63.5
2010-05-02,15.299999999999999
2010-05-02,15.0
2010-05-02,2.2800000000000002
2010-05-02,17.0
2010-05-13,25.200000000000003
2010-05-13,51.0
2010-05-13,90.0
2010-05-13,10.0
2010-05-13,15.0
2010-05-13,15.0
2010-05-13,22.5
2010-05-13,25.200000000000003
2010-05-13,63.5
2010-05-27,127.0
2010-05-27,47.6
2010-05-27,81.36
2010-05-27,15.0
2010-05-27,34.0
2010-05-27,14.850000000000001
2010-05-27,19.9
2010-05-27,23.4
2010-06-07,47.6
2010-06-07,15.299999999999999
2010-06-07,55.800000000000004
2010-06-07,10.0
2010-06-07,10.0
2010-06-07,10.0
2010-06-07,10.0
2010-06-07,15.0
2010-06-07,63.5
2010-06-07,30.0
2010-06-07,10.5
2010-06-07,14.850000000000001
2010-06-07,17.0
2010-06-13,81.12
2010-06-13,10.08
2010-06-13,63.5
2010-06-13,63.5
2010-06-13,63.5
2010-06-13,102.0
2010-06-13,15.299999999999999
2010-06-13,15.299999999999999
2010-06-13,15.0
2010-06-13,25.200000000000003
2010-06-13,25.200000000000003
2010-06-13,81.36
2010-06-13,15.0
2010-06-13,14.850000000000001
2010-06-13,17.0
2010-06-30,25.200000000000003
2010-06-30,30.0
2010-06-30,68.0
2010-06-30,12.9
2010-06-30,15.299999999999999
2010-06-30,15.0
2010-06-30,65.69999999999999
2010-06-30,29.700000000000003
2010-06-30,17.85
2010-06-30,17.85
2010-06-30,15.299999999999999
2010-06-30,10.0
2010-07-08,19.8
2010-07-08,11.6
2010-07-08,8.5
2010-07-08,11.9
2010-07-08,55.800000000000004
2010-07-08,90.0
2010-07-08,10.0
2010-07-08,10.0
2010-07-08,25.200000000000003
2010-07-08,63.5
2010-07-18,19.8
2010-07-18,5.8
2010-07-18,6.2
2010-07-18,17.85
2010-07-18,17.85
2010-07-18,15.299999999999999
2010-07-18,10.0
2010-07-18,10.0
2010-07-18,10.0
2010-07-18,15.0
